Pathways	DMSO_1	DMSO_2	DMSO_3	DMSO_5	High_1	High_2	High_3	High_5	High_6	Low_1	Low_2	Low_3	Xu_20181212_SAHA_rapidAIM_Low_4_181214210722
11	Carbon fixation pathways in prokaryotes [PATH:ko00720]	0.0471706319342402	-0.024040297474881	0.112347736082901	-0.0148481957568397	0.0595812880328638	-0.129997942108019	-0.0287451832587226	0.126566144547917	-0.0672668858516299	-0.0521571428077176	-0.045456233592709	-0.0918075681617377	0.0719952669760339
12	Chaperones and folding catalysts [BR:ko03110]	-0.0939347227216415	0.123572382634307	0.140026488459114	-0.0196163074492068	-0.205271260854091	-0.229216275103322	-0.0550183761395514	-0.0919413361980362	-0.140857993647818	0.0151249628614394	0.0827397956100345	0.163109741318786	-0.0607207603351696
13	Chloroalkane and chloroalkene degradation [PATH:ko00625]	-0.422618414077557	-0.220550667793189	-0.113490814876174	-0.208977891377495	0.0959003211515416	-0.0581310521090769	0.10459006362695	0.148556907171454	-0.0269799164680345	0.322374111469504	0.0223753326161335	0.13416996919052	0.151148157509495
14	Chromosome and associated proteins [BR:ko03036]	-0.112991174572675	0.228272892130431	-0.0880248580698346	-0.0340533552349666	-0.155168978031053	0.130817532451775	-0.143334161748972	-0.188167234873648	-0.243105714938487	0.088237112336881	0.140936505299035	0.474341615709462	-0.197345685276695
15	Citrate cycle (TCA cycle) [PATH:ko00020]	0.150266587760878	-0.0955526748084335	0.0700608055340999	0.0432573203762395	0.1828485665247	-0.098337964481511	-0.0870021780990977	0.0534809318940253	-0.0795675968662127	-0.0456233785985853	-0.024956023918028	-0.106456777966371	0.0872123075987518
16	Cyanoamino acid metabolism [PATH:ko00460]	0.154163966549642	-0.139178335826853	0.369117143819895	-0.214893247364392	-0.195969127001985	-0.0595163901148198	0.357218514828517	-0.159290675910142	-0.280329619330176	-0.356552382752869	-0.075451611339487	0.0716676496267157	0.105436403682171
17	Cysteine and methionine metabolism [PATH:ko00270]	-0.21989841651327	-0.148629479946538	-0.201591305661621	-0.111630213754272	0.0823302720398965	0.249928904452411	0.148056346637658	0.0324050534954596	0.123112312595454	-0.224744288729242	0.0537113455789746	0.0176762053227651	-0.00112315087517859
18	Cytoskeleton proteins [BR:ko04812]	0.0340979054500289	-0.160660837912917	0.263743156333848	0.21019162374345	0.0266984780197853	-0.103155552204189	-0.120019227858866	0.258162692719886	0.20532085826298	-0.350602050668523	-0.316618934260475	0.303248540776114	-0.439672556767554
19	DNA repair and recombination proteins [BR:ko03400]	-0.0753073060419452	0.128203181640863	0.00700955301819685	-0.0219674909978375	-0.0639243631283961	-0.0138681124028185	0.0192718527408013	-0.148452974467643	-0.105583823944927	0.0355468422658311	0.0736024374564719	0.220382798831939	-0.160818941848148
20	DNA replication proteins [BR:ko03032]	-0.111718745117896	0.336662531702435	-0.139240701892751	-0.0322267006695538	-0.202664579446453	0.187732580076274	-0.155698474762825	-0.322110120325248	-0.325224174471824	0.169797462562244	0.263625773755606	0.502571203931293	-0.20500033083271
21	Drug metabolism - other enzymes [PATH:ko00983]	0.170597816121005	-0.112378135269167	-0.141035935387045	-0.022143462711663	-0.187496617108289	-0.226204630460604	0.0104684757416239	-0.0344362107764495	0.0405324918159592	-0.187835329916756	0.0667899116947476	0.228867211771908	-0.0596458575262074
22	Energy metabolism	0.331831645003089	0.124282641899723	0.225977326216902	0.35647170276616	-0.316923761615832	-0.313405434846677	-0.0398542382362206	-0.0874482937553799	-0.292463280144439	-0.0996626387125418	0.0727266981532961	0.248225919030627	0.0874485789412713
23	Enzymes with EC numbers	0.105739675529652	-0.0512021517743133	0.00347887362610788	0.017044794732281	0.00777175004488623	-0.0779334591361362	0.0986010685205621	0.169416299961713	-0.204664970670732	-0.0738698518253874	-0.0494202317933795	-0.0924671098598078	0.0289912111856621
24	Exosome [BR:ko04147]	0.125827860647022	-0.0150696706376316	0.0991727217541637	0.0625112508665043	-0.0598862287631264	-0.0601585162675638	0.0491212996377103	-0.031862182793479	-0.101577776441873	-0.00475109479726216	0.0600990538301791	0.00285539492715808	0.0617003413088761
25	Fatty acid biosynthesis [PATH:ko00061]	0.389885382579489	-0.000577429322945217	0.274014544215018	-0.250125322140993	0.370911570271617	-0.105597529096073	-0.516174072037119	-0.289676339926592	-0.389759859491628	0.141811331241624	0.354733407883853	-0.325474464424494	-0.0527075369082039
26	Fatty acid degradation [PATH:ko00071]	0.18259210813595	0.184184358718024	0.20876351116312	0.233577142327515	-0.171202866141406	-0.116775209923654	-0.349374168375876	-0.137813543988338	-0.0480466777071172	0.0308898075124191	0.0945261329584415	0.0135203338504554	0.0221022685324651
27	Fructose and mannose metabolism [PATH:ko00051]	-0.195659429191846	-0.108778285398569	-0.221575697383969	-0.0268847960071261	-0.0946530727377366	0.163134030202144	0.198508784328764	0.216989810248549	0.160744719528847	0.00270215619360675	0.153305342634395	-0.0885849775713533	0.0129549691173062
28	Galactose metabolism [PATH:ko00052]	-0.0911803493445604	-0.0684253905746953	-0.120168012539456	-0.0147953419984327	-0.0179411411392132	0.1688565519244	-0.0239069947583421	0.0516591234700115	0.170395228214017	-0.169224235184234	-0.120261408346552	0.140064383285756	-0.00534556796807656
29	Glycerolipid metabolism [PATH:ko00561]	0.237978544660331	0.319293888949625	0.402996368865245	0.536059749281103	-0.436648648758348	-0.489051051504651	-0.178244886477752	-0.0437144845867584	-0.265831513728432	0.304518728151733	-0.318892021712372	-0.288221686995025	0.225785581423026
30	Glycine, serine and threonine metabolism [PATH:ko00260]	-0.0304375873602296	-0.149401228852334	0.0465468897251069	-0.0447726507019464	-0.0808433966199679	0.121062868601588	0.095276143161516	0.0685207288480745	0.0123897014772657	-0.205915339203915	0.017599300493954	-0.19838513076838	0.183869778759959
31	Glycolysis / Gluconeogenesis [PATH:ko00010]	0.043567000375401	-0.0645212094228946	0.0142274859710841	0.0520169244525662	0.0406970790034374	-0.000958581591083391	0.0272305968582899	0.0427397844065958	0.0263695934571363	0.0340478349094187	0.00895250510025827	-0.0430571139356898	0.0398393883661946
32	Glycosaminoglycan degradation [PATH:ko00531]	-0.496206295745024	-0.213507448299004	0.236674577283157	-0.247827017729215	0.0442311811246324	-0.131395755272951	0.110702690353412	0.332986004815513	-0.12872236327437	0.138445708573892	0.00203741703569879	0.327880767318792	-0.19580161799571
33	Glycosphingolipid biosynthesis - ganglio series [PATH:ko00604]	-0.496206295745024	-0.213507448299004	0.236674577283157	-0.247827017729215	0.0442311811246324	-0.131395755272951	0.110702690353412	0.332986004815513	-0.12872236327437	0.138445708573892	0.00203741703569879	0.327880767318792	-0.19580161799571
34	Glycosphingolipid biosynthesis - globo and isoglobo series [PATH:ko00603]	-0.496206295745024	-0.213507448299004	0.236674577283157	-0.247827017729215	0.0442311811246324	-0.131395755272951	0.110702690353412	0.332986004815513	-0.12872236327437	0.138445708573892	0.00203741703569879	0.327880767318792	-0.19580161799571
35	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	0.0265173361652079	-0.215776027991821	-0.137905027318086	-0.0800979156583918	0.164087027796952	0.240065448718597	-0.0389820419810048	0.1350980424173	-0.0039107548410633	-0.184723688259053	-0.0828182118843306	-0.095048327199755	0.120896671435107
36	Histidine metabolism [PATH:ko00340]	-0.133441160746759	0.137853303623631	-0.105188905771813	0.341487147842769	-0.401668342358866	-0.121439425147811	-0.189673183056077	0.128028442245134	-0.312673929990087	0.210393591014551	-0.209695337864584	-0.187534013829985	-0.369372018706299
37	Inositol phosphate metabolism [PATH:ko00562]	0.0802608726310943	-0.0371656532717042	0.240716482228798	0.101414551430572	-0.18611836192657	0.0261235025491297	0.130547907819558	0.172990716265325	-0.101665908413399	-0.010614990527853	0.0655018794027371	-0.200144029965697	-0.0441380833976833
38	Lysine biosynthesis [PATH:ko00300]	-0.276761509213266	-0.0600236929377675	-0.231746166449014	-0.108042697973338	-0.000586804162561433	-0.0233854616015538	0.0109917448181799	-0.114328425104184	0.0925907913480143	-0.00643317088712503	0.187904617462782	-0.0482207079516929	0.110206445024125
39	Lysine degradation [PATH:ko00310]	0.200879713598366	0.21822090091493	0.212506755998003	0.176071367623285	-0.0040982479719727	0.041380975248751	-0.3272345463696	-0.0252796257681297	0.152502999131423	-0.184425818921295	0.0131224883376518	-0.0985985134458136	0.00481230218490278
40	Membrane trafficking [BR:ko04131]	0.0094740220782111	-0.0386584453808898	0.073150876669379	-0.0426648377054317	0.0542651887354889	0.0882854176762836	0.0443887631034763	-0.0533871647937795	0.0690207579062376	0.0583631758686111	0.0525852843446791	0.173715234750653	-0.0650370953721286
41	Messenger RNA biogenesis [BR:ko03019]	-0.0196156288971873	0.137529305143249	0.145715823299566	0.0479649766094985	-0.224264026672994	-0.186816779991484	-0.040812524822098	-0.142863139345226	-0.0743165881167441	-0.0196255769705686	0.124033006890747	0.139455569908492	-0.010217051750546
42	Methane metabolism [PATH:ko00680]	-0.039373723409242	0.0140307976034425	-0.0290138876067639	0.125080444505564	-0.157466091019471	-0.027932416500275	0.00715748338209898	0.00400195916110513	-0.0185938014812607	-0.150453848736757	0.119703410369479	-0.111738774897976	0.0361513958807121
43	Mitochondrial biogenesis [BR:ko03029]	0.127283175545654	-0.0547271166797307	0.0807031216369567	-0.0304240328434916	0.0278868826985249	-0.0986764337642968	0.0936887788591927	-0.00558501632912292	-0.139439573146667	-0.0117772083052052	0.0240923271722088	0.0486676691897217	0.073103436243597
44	Monobactam biosynthesis [PATH:ko00261]	-0.35617720893865	-0.0740944539027715	-0.0335868125676008	-0.143394681687166	-0.182512999385472	0.170264823414047	-0.123494057370708	0.114916553432128	0.157161234241148	0.0878001836818374	-0.0895598138245076	0.248651204720673	-0.199348897478307
45	Naphthalene degradation [PATH:ko00626]	-0.442658540139221	-0.225217905875718	-0.0791005422790724	-0.250538848400747	0.128678294411315	-0.0574099880170007	0.0850386230126834	0.128172979961622	-0.0585568313434967	0.355005056929404	0.0562648428644976	0.108506785748442	0.191104329488061
46	Nitrogen metabolism [PATH:ko00910]	-0.0970242248221718	-0.0232620279591561	0.216061552789749	-0.190422456235159	0.0712627452943277	0.0603999727020143	-0.0767205081506393	-0.00504812113956271	0.0284706827232199	-0.19439670079092	-0.0756882993371371	-0.0500641108384775	0.176206131262486
47	Nitrotoluene degradation [PATH:ko00633]	-0.0358471222456787	0.227450515300578	0.0223713893525836	-0.213211592704993	0.0321073594895222	-0.0416479634269342	0.350146206817724	0.262942139469614	-0.0955358966338183	-0.314655201439349	0.187935483168767	-0.519376866425173	-0.149593273418205
48	One carbon pool by folate [PATH:ko00670]	0.200106302650159	-0.031068239371929	0.228507598393856	0.115385211502306	-0.0680248534699146	-0.234598433441405	0.00603768300630161	0.138967667906726	-0.293230310934285	-0.320949339186376	-0.00915060211518645	-0.137190398416803	0.142623193569537
49	Other glycan degradation [PATH:ko00511]	-0.360053867021988	-0.170524386149821	0.176296616229483	-0.070705482983321	-0.0268988252618006	0.0255236227604766	0.134043034769549	0.137625084345594	-0.40841762823323	-0.0654314020515498	-0.0200031434658468	0.306723828784953	-0.177512740673924
50	Oxidative phosphorylation [PATH:ko00190]	0.0316015437498254	-0.210745102648149	0.191198194557983	-0.0886192361783293	-0.0293686617863899	-0.264534012186335	-0.145999769569191	-0.0161612968298939	-0.198590916918848	-0.136250624681086	0.0461575328726954	0.300857052568794	0.0217566707366611
51	Pantothenate and CoA biosynthesis [PATH:ko00770]	0.0580062697664297	0.0019689478729428	0.149965852807069	-0.0166388928159025	0.209156234163003	-0.0698482681020414	-0.187336005292466	0.163523433289221	-0.123393661745004	0.0485386184883208	-0.180794049696231	-0.094862925466395	-0.106587066842783
52	Pentose and glucuronate interconversions [PATH:ko00040]	-0.418498680729262	-0.274657918969413	-0.402131824559363	-0.274325155633349	0.360084814446276	0.125713509659089	0.48888490157381	0.191679643641786	0.426004472145106	-0.17065901206005	0.23123363877963	-0.0239848907662393	-0.131486515691614
53	Pentose phosphate pathway [PATH:ko00030]	-0.0986430947774575	0.00065060340426909	-0.112840356145938	0.146459362878752	-0.0695462365830097	0.0302936774083589	-0.0901131376426503	-0.0554686823168819	0.0806947356235751	0.0415258747154514	0.0627898814967321	-0.133853675199416	-0.0548525773650638
54	Phenylalanine metabolism [PATH:ko00360]	0.280831068293324	0.211279622429699	0.253957158558028	0.467746837114982	-0.322752989056852	-0.00722854740572856	-0.356225395098835	-0.274770616070648	0.0773111727997738	-0.0572068845189463	-0.206629411329377	0.0712288446751811	-0.171694674302596
55	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	0.128351565784932	0.167954836303482	-0.0304236416884528	0.106792583540897	-0.528693384933763	-0.20088607707656	-0.130783363955226	-0.0710910698162491	0.301021999246965	-0.349202388705883	-0.0211862018546417	-0.0331625060892281	-0.195947457440057
56	Photosynthesis [PATH:ko00195]	0.108647192666582	-0.235110251994085	0.245973694251514	0.0248654246132157	-0.0102694787893991	-0.210785303901668	-0.159792003056391	-0.0139861791614375	-0.148093229455468	-0.248512347875059	0.118876532743562	0.291596533730944	0.0452801678868816
57	Porphyrin and chlorophyll metabolism [PATH:ko00860]	0.364937301607744	-0.0613713741308315	0.222157162340316	0.124181672388299	-0.189747023084462	-0.154182758710718	-0.0870199184406944	-0.0109777635621744	0.107178631051764	-0.483857629625763	0.229177851485192	0.40476573918067	0.0432470982759469
58	Prokaryotic defense system [BR:ko02048]	0.109873315171348	-0.284840102466312	0.136664906992381	0.294943444135809	-0.0503843707040382	-0.0146800897028767	-0.0680743095449682	0.21357659166904	0.181454246921829	-0.358377494487693	-0.183559327936144	0.320950509004947	-0.234674761996489
59	Propanoate metabolism [PATH:ko00640]	0.0981133897824594	-0.101948688285058	-0.0385877868750948	0.0505715874614945	0.0455912797464587	0.0557805772297678	-0.0908564316147326	0.152734806238974	-0.0447812888975878	-0.0656726177722033	-0.0720838948229075	-0.108213527074694	0.143005593597973
60	Proteasome [BR:ko03051]	-0.362042410484995	0.103190818021637	0.370724252285418	0.211325697970868	-0.227385275729417	-0.33394368693365	-0.14431611278458	-0.199807010337536	-0.304805584977606	0.186714582635448	0.0287523684685807	0.23240507492218	-0.104002769183839
61	Purine metabolism [PATH:ko00230]	-0.0053795844430653	0.0129870738048685	-0.159465213990689	-0.0848628322151933	-0.067602159954107	-0.0796631037385888	0.0128906873190961	-0.0335037222858402	0.0132107523695021	-0.163531804328815	0.0944016412528087	-0.109053706763359	-0.012672828968349
62	Pyrimidine metabolism [PATH:ko00240]	-0.0409218970456005	-0.0226478766344936	-0.372536696009029	-0.156441644777332	-0.0723918289061416	-0.0191285069407853	-0.00978432621698125	0.00230902617206322	0.130875040733205	-0.191108903587675	0.0364407211430825	-0.0537684704719794	0.224861932825731
63	Pyruvate metabolism [PATH:ko00620]	0.0745724239801425	-0.0426564695187275	0.0554703957834912	0.0550622383187101	0.098506816150261	-0.102029518937811	-0.0777157664632675	0.0393395726747275	-0.0351444577053928	-0.0104129502040209	-0.00733551759906598	-0.0627511399230362	0.0497371407774486
64	Ribosome [BR:ko03011]	-0.0235594620144206	0.206694265178323	0.00676387015325353	0.0471645600647825	-0.0719647706635494	0.0739966802665668	-0.0357928013708938	-0.179257066569784	0.0913232954629755	0.141231508701261	-0.0574440947177607	0.0671128143990183	-0.192385313964156
65	Ribosome biogenesis [BR:ko03009]	-0.0131506142144337	-0.0846120122251425	0.145488984074678	-0.0307820231127209	0.233353081211753	0.319501639090034	-0.117209671826402	0.0396985516208556	-0.29061450905835	-0.112983920343942	-0.108820833728398	0.0830123573426719	-0.462310391590979
66	RNA polymerase [PATH:ko03020]	-0.0644380172743241	0.0461941628084335	0.0509823956887586	-0.0216801529115943	0.00928589182364578	-0.114567006495883	0.0710352548866457	-0.0317305632667968	0.0268180613445088	-0.0292569169550273	-0.0145863070927157	0.0882009043895509	-0.135850350176385
67	Secondary bile acid biosynthesis [PATH:ko00121]	-0.205663112725894	0.0822258050219967	0.228886245884256	-0.0467758102238631	-0.251590704873877	-0.279803133986547	0.239895599327283	0.070743573796473	-0.231816270381859	0.349110018805979	-0.0869262039340564	-0.467036489179191	0.29357803133558
68	Secretion system [BR:ko02044]	-0.145736890696669	-0.145970876725116	-0.114863831626349	-0.000793647072621556	-0.0287533391681309	0.0634157864579593	-0.0630251897356072	-0.114422717736194	-0.0467307264692529	0.074549623980641	0.13137723488961	0.0607589546854272	0.0128537379355208
69	Selenocompound metabolism [PATH:ko00450]	-0.299662001009254	-0.321158066688813	-0.300591099703334	-0.303413655036143	0.0679502492216481	0.123130741833919	0.322833755859048	0.0945100968306924	0.189323413329276	-0.158068840303264	0.231565977139362	-0.199266035541647	0.0462818579551547
70	Starch and sucrose metabolism [PATH:ko00500]	-0.267924731478334	0.0359168872030735	-0.21680689022516	-0.0776115667134751	-0.121782916664931	0.104147912198422	0.028933067177859	0.02738171142629	0.23029119876679	-0.0160889816714397	-0.0461343913670501	0.011588971720716	-0.0961902540526605
71	Streptomycin biosynthesis [PATH:ko00521]	0.239901942475685	0.274469569037355	0.0881975301643325	0.33010728185088	0.199699515151613	-0.152393367796506	-0.242613637502301	-0.157000060403918	-0.18634610934448	-0.0943297548873799	0.0285523842550347	-0.454289373218071	-0.010630962850832
72	Styrene degradation [PATH:ko00643]	0.216689676869928	0.21931290259353	0.0617688959917192	0.169391099582036	-0.123530201312307	-0.432745113214591	0.119274766438385	0.110025852613814	-0.332847659504775	-0.0693535570434808	0.0459233984914503	-0.286104443358989	0.245431549626128
73	Sulfur metabolism [PATH:ko00920]	0.0153739052020895	-0.377358239862938	0.349829447077454	0.175202948385589	-0.269500988356521	-0.214892770186885	-0.17974879345675	-0.0547878415004521	-0.0774547301629331	-0.00898661590517993	0.0118738938474269	-0.140739242963426	0.146098993771296
74	Synthesis and degradation of ketone bodies [PATH:ko00072]	0.215740048051878	0.268084320708724	0.190376889380577	0.19802401801349	-0.0657477608218546	0.00401072161056867	-0.354626487211551	-0.0284420986941434	0.137652258428064	-0.124251423688224	0.00562184435840327	-0.102383053736438	-0.0193886856075964
75	Taurine and hypotaurine metabolism [PATH:ko00430]	-0.00469112030132868	0.208607505571968	0.102881421248425	0.392851250206235	-0.269091571767755	-0.176913230085489	0.0922622325174462	-0.0671775320813768	-0.0611946492758101	-0.174781625784828	-0.180987337464398	-0.179914845291911	-0.128649852105209
76	Terpenoid backbone biosynthesis [PATH:ko00900]	0.190526211451729	0.270976504850522	0.226078830234549	0.221389678397064	-0.133740501982395	-0.0459156047898759	-0.365630340478593	-0.0254463046861744	0.19320001544087	-0.0196032464494248	-0.01673584915425	-0.0899865133042993	0.0290143933846996
77	Thiamine metabolism [PATH:ko00730]	-0.360484498594181	0.242192104034393	-0.503863244136395	-0.437162370343422	-0.150797119760093	-0.237304556938442	0.181332442811808	-0.155046441514625	-0.135460875775178	0.422098839124509	0.244249485418277	0.296413355474185	0.30789489938439
78	Transfer RNA biogenesis [BR:ko03016]	-0.178001255616764	-0.12228960157931	-0.161673697932853	0.110170502341603	-0.111887100657261	0.00640456158076302	-0.119291224763223	-0.0640901773780939	0.150194250956616	0.0680441882001269	-0.0903103347468549	-0.0982921524915989	0.0297533488098474
79	Translation factors [BR:ko03012]	0.195580764075119	-0.178609323805172	0.0294222425282827	-0.0217763361794204	0.138507316541212	-0.0296694468957341	0.0971314976805038	0.0792375123668349	-0.145023559760393	-0.0453100688585917	0.0310498790229459	-0.000204772073863463	0.143800162689059
80	Transporters [BR:ko02000]	-0.263384482679451	-0.16651948300364	-0.245792958524968	-0.215137335519381	0.160739218120794	0.0949592659870255	0.0776326374305488	0.104026866027938	0.248758137614367	0.0179915499915883	0.0441493423647124	-0.109438192132203	0.0418160130307661
81	Tryptophan metabolism [PATH:ko00380]	0.106420271843751	0.177303506053301	0.141931889875931	0.219791482548145	-0.0397113618900101	-0.0726659841071892	-0.291676342982491	0.0722715878530292	0.184522502513435	-0.161021598968947	0.0191051498579767	-0.0832198716723704	0.00737437650460451
82	Two-component system [BR:ko02022]	0.0304664712870411	-0.515401261669329	-0.36332341361249	0.0646068220679176	0.272509655625298	0.297698638851577	0.317682365203711	0.27815708295012	0.0976259627362337	-0.220768419581954	-0.344058471147442	0.311384987118414	0.389056809414843
83	Tyrosine metabolism [PATH:ko00350]	-0.297302351851407	-0.226162436002963	-0.140741357188425	-0.315072899918431	0.130136962464641	0.0912789768182498	0.207606286812399	0.161527642420603	0.0887958354021799	0.24240501503844	-0.0430351655539655	0.107187170545755	0.0537829655199321
84	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	0.0332098675494067	-0.0529504386497347	0.236716521900366	0.0067418602745232	0.192709319750929	-0.0212790369086955	-0.197191719566665	0.168244833765171	-0.23184021013793	-0.0232411384940932	-0.232488467191125	-0.0399768087152413	-0.0776930598607335
85	Valine, leucine and isoleucine degradation [PATH:ko00280]	0.171758013747228	-0.00749664595339319	0.0271586398224667	0.0902753662818663	-0.0208386078796119	-0.00652598652988695	-0.275354391200951	-0.0021356047830951	0.0254175012908149	-0.0559363142902812	0.0115727668320865	-0.0401951575376551	0.113522121053455
86	Various types of N-glycan biosynthesis [PATH:ko00513]	-0.570761546818594	-0.21176312345947	0.20241225344005	-0.244926179176709	0.0453457808129933	-0.133390284820742	0.108754982243212	0.311859836282752	-0.132615360923455	0.138228339315528	0.000625585495735076	0.312630094921149	-0.194594784662732
87	Vitamin B6 metabolism [PATH:ko00750]	-0.212260616370858	-0.385714611969782	-0.0928322289669845	0.135511737386854	0.223288327632577	0.475367632925644	0.374597861803896	0.174096717608479	0.0296030360462584	-0.372816142551601	0.25439250242815	-0.323861782274861	0.311156073755219
